Country,Latitude,Longitude,Missions
USA,37.0902,-95.7129,1472
Russia,61.524,105.3188,1416
Kazakhstan,48.0196,66.9237,719
China,35.8617,104.1954,368
France,46.2276,2.2137,318
Japan,36.2048,138.2529,130
India,20.5937,78.9629,82
Pacific Ocean,0,-154,36
New Zealand,-40.9006,174.886,28
Israel,31.0461,34.8516,17
Iran,32.4279,53.688,17
Kenya,0.0236,37.9062,9
Australia,-25.2744,133.7751,6
South Korea,35.9078,127.7669,5
North Korea,40.3399,127.5101,5
Brazil,-14.235,-51.9253,3
Barents Sea,69.5,34.2,3
Gran Canaria,27.9202,-15.5474,2
