Company,Date,Time,Rocket,Mission,RocketStatus,MissionStatus,Day/Night Launch,Complex ID,Launch Site,Territory,Country
US Navy,12/6/57,16:44:00,Vanguard,Vanguard TV3,Retired,Failure,Day,LC-18A,Cape Canaveral AFS,Florida,USA
AMBA,2/1/58,3:48:00,Juno I,Explorer 1,Retired,Success,Night,LC-26A,Cape Canaveral AFS,Florida,USA
US Navy,2/5/58,7:33:00,Vanguard,Vanguard TV3BU,Retired,Failure,Day,LC-18A,Cape Canaveral AFS,Florida,USA
AMBA,3/5/58,18:27:00,Juno I,Explorer 2,Retired,Failure,Night,LC-26A,Cape Canaveral AFS,Florida,USA
US Navy,3/17/58,12:15:00,Vanguard,Vanguard 1,Retired,Success,Day,LC-18A,Cape Canaveral AFS,Florida,USA
AMBA,3/26/58,17:38:00,Juno I,Explorer 3,Retired,Success,Day,LC-5,Cape Canaveral AFS,Florida,USA
US Navy,4/28/58,2:53:00,Vanguard,Vanguard TV5,Retired,Failure,Night,LC-18A,Cape Canaveral AFS,Florida,USA
US Navy,5/28/58,3:46:00,Vanguard,Vanguard SLV-1,Retired,Failure,Night,LC-18A,Cape Canaveral AFS,Florida,USA
US Navy,6/26/58,5:00:00,Vanguard,Vanguard SLV-2,Retired,Failure,Night,LC-18A,Cape Canaveral AFS,Florida,USA
US Navy,7/25/58,,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,Failure,,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA
AMBA,7/26/58,15:00:00,Juno I,Explorer 4,Retired,Success,Day,LC-5,Cape Canaveral AFS,Florida,USA
US Navy,8/12/58,,NOTS-EV-1 Pilot II,Pilot-2 (D2),Retired,Failure,,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA
US Air Force,8/17/58,12:18:00,Thor-DM 18 Able I,Pioneer 0,Retired,Failure,Day,SLC-17A,Cape Canaveral AFS,Florida,USA
US Navy,8/22/58,,NOTS-EV-1 Pilot II,Pilot-3 (D3),Retired,Failure,,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA
AMBA,8/24/58,6:17:00,Juno I,Explorer 5,Retired,Failure,Day,LC-5,Cape Canaveral AFS,Florida,USA
US Navy,8/25/58,,NOTS-EV-1 Pilot II,Pilot-4 (R1),Retired,Failure,,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA
US Navy,8/26/58,,NOTS-EV-1 Pilot II,Pilot-5 (R2),Retired,Failure,,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA
US Navy,8/29/58,,NOTS-EV-1 Pilot II,Pilot-6 (R3,Retired,Failure,,Douglas F4D Skyray,Naval Air Station Point Mugu,California,USA
US Navy,9/26/58,15:38:00,Vanguard,Vanguard SLV-3,Retired,Failure,Day,LC-18A,Cape Canaveral AFS,Florida,USA
NASA,10/11/58,8:42:00,Thor-DM 18 Able I,Pioneer 1,Retired,Partial Failure,Day,SLC-17A,Cape Canaveral AFS,Florida,USA
AMBA,10/23/58,3:21:00,Juno I,Beacon 1,Retired,Failure,Night,LC-5,Cape Canaveral AFS,Florida,USA
NASA,11/8/58,7:30:00,Thor-DM 18 Able I,Pioneer 2,Retired,Failure,Day,SLC-17A,Cape Canaveral AFS,Florida,USA
